ok  	github.com/n-orlov/deck/cmd/deck	7.651s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.786s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.771s
ok  	github.com/n-orlov/deck/features	325.934s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.024s
ok  	github.com/n-orlov/deck/internal/hookrecv	3.969s
ok  	github.com/n-orlov/deck/internal/interactive	11.089s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.230s
ok  	github.com/n-orlov/deck/internal/store	2.301s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.543s
ok  	github.com/n-orlov/deck/internal/tui	3.489s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
