ok  	github.com/n-orlov/deck/cmd/deck	7.368s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.791s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.770s
ok  	github.com/n-orlov/deck/features	305.539s
ok  	github.com/n-orlov/deck/internal/agent	0.004s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.029s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.080s
ok  	github.com/n-orlov/deck/internal/interactive	11.106s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.223s
ok  	github.com/n-orlov/deck/internal/store	2.392s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.419s
ok  	github.com/n-orlov/deck/internal/tui	1.075s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
