ok  	github.com/n-orlov/deck/cmd/deck	7.338s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.786s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.774s
ok  	github.com/n-orlov/deck/features	310.015s
ok  	github.com/n-orlov/deck/internal/agent	0.004s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.025s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.012s
ok  	github.com/n-orlov/deck/internal/interactive	10.866s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.135s
ok  	github.com/n-orlov/deck/internal/store	2.358s
ok  	github.com/n-orlov/deck/internal/theme	0.003s
ok  	github.com/n-orlov/deck/internal/tmux	19.321s
ok  	github.com/n-orlov/deck/internal/tui	1.136s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
