ok  	github.com/n-orlov/deck/cmd/deck	5.832s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.794s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.776s
ok  	github.com/n-orlov/deck/features	283.713s
ok  	github.com/n-orlov/deck/internal/agent	0.004s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.035s
ok  	github.com/n-orlov/deck/internal/hookrecv	3.394s
ok  	github.com/n-orlov/deck/internal/interactive	11.464s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	3.251s
ok  	github.com/n-orlov/deck/internal/store	1.355s
ok  	github.com/n-orlov/deck/internal/theme	0.004s
ok  	github.com/n-orlov/deck/internal/tmux	19.358s
ok  	github.com/n-orlov/deck/internal/tui	0.452s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
