ok  	github.com/n-orlov/deck/cmd/deck	7.469s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.792s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.774s
ok  	github.com/n-orlov/deck/features	317.204s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.026s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.084s
ok  	github.com/n-orlov/deck/internal/interactive	11.292s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.472s
ok  	github.com/n-orlov/deck/internal/store	2.382s
ok  	github.com/n-orlov/deck/internal/theme	0.006s
ok  	github.com/n-orlov/deck/internal/tmux	19.461s
ok  	github.com/n-orlov/deck/internal/tui	1.419s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
