ok  	github.com/n-orlov/deck/cmd/deck	7.564s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.793s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.772s
ok  	github.com/n-orlov/deck/features	319.967s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.025s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.105s
ok  	github.com/n-orlov/deck/internal/interactive	11.216s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.307s
ok  	github.com/n-orlov/deck/internal/store	2.399s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.479s
ok  	github.com/n-orlov/deck/internal/tui	1.394s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
